"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Yaniel Cabeza","1","1","0","0","0","0","0","0","0","0","0","0","0",".204",".246",".272",".519",".232","0.0","0.0","0.0","sa598337"
"Chase Anselment","1","1","0","0","0","0","0","0","0","0","0","0","0",".189",".235",".285",".521",".232","0.0","0.0","0.0","sa621129"
"Julio Morillo","1","1","0","0","0","0","0","0","0","0","0","0","0",".195",".245",".273",".518",".232","0.0","0.0","0.0","sa546504"
"Webster Rivas","1","1","0","0","0","0","0","0","0","0","0","0","0",".200",".245",".272",".517",".232","0.0","0.0","0.0","sa547912"
"Anthony Nunez","1","1","0","0","0","0","0","0","0","0","0","0","0",".194",".242",".277",".519",".231","0.0","0.0","0.0","sa506536"
"Roberto Pena","1","1","0","0","0","0","0","0","0","0","0","0","0",".205",".241",".280",".521",".231","0.0","0.0","0.0","sa548359"
"Jesus Montero","1","1","0","0","0","0","0","0","0","0","0","0","0",".196",".239",".280",".519",".231","0.0","0.0","0.0","sa506571"
"Marcus Nidiffer","1","1","0","0","0","0","0","0","0","0","0","0","0",".189",".238",".280",".517",".231","0.0","0.0","0.0","sa526211"
"Yosbel Gutierrez","1","1","0","0","0","0","0","0","0","0","0","0","0",".195",".239",".280",".519",".231","0.0","0.0","0.0","sa550722"
"Wilfredo Rodriguez","1","1","0","0","0","0","0","0","0","0","0","0","0",".202",".243",".274",".517",".231","0.0","0.0","0.0","sa658032"
"Wynston Sawyer","1","1","0","0","0","0","0","0","0","0","0","0","0",".190",".245",".267",".511",".231","0.0","0.0","0.0","sa548430"
"Gerardo Bustamante","1","1","0","0","0","0","0","0","0","0","0","0","0",".199",".239",".279",".518",".231","0.0","0.0","0.0","sa291106"
"Jonathan Keener","1","1","0","0","0","0","0","0","0","0","0","0","0",".201",".239",".281",".520",".230","0.0","0.0","0.0","sa599492"
"Tyler Marlette","1","1","0","0","0","0","0","0","0","0","0","0","0",".199",".239",".277",".516",".230","0.0","0.0","0.0","sa597836"
"Erick Fernandez","1","1","0","0","0","0","0","0","0","0","0","0","0",".196",".245",".269",".514",".230","0.0","0.0","0.0","sa550270"
"Luis Perez","1","1","0","0","0","0","0","0","0","0","0","0","0",".200",".240",".275",".516",".230","0.0","0.0","0.0","sa506572"
"Mike Marjama","1","1","0","0","0","0","0","0","0","0","0","0","0",".206",".238",".280",".518",".230","0.0","0.0","0.0","sa580435"
"Phillip Pohl","1","1","0","0","0","0","0","0","0","0","0","0","0",".188",".232",".283",".515",".229","0.0","0.0","0.0","sa526886"
"Richi Sanchez","1","1","0","0","0","0","0","0","0","0","0","0","0",".193",".245",".264",".509",".229","0.0","0.0","0.0","sa736755"
"Zachary Fisher","1","1","0","0","0","0","0","0","0","0","0","0","0",".193",".236",".276",".512",".229","0.0","0.0","0.0","sa503821"
"Aaron Munoz","1","1","0","0","0","0","0","0","0","0","0","0","0",".197",".245",".264",".509",".229","0.0","0.0","0.0","sa546784"
"Ryan Delgado","1","1","0","0","0","0","0","0","0","0","0","0","0",".190",".237",".273",".510",".228","0.0","0.0","0.0","sa549953"
"Doug Pickens","1","1","0","0","0","0","0","0","0","0","0","0","0",".193",".241",".269",".510",".228","0.0","0.0","0.0","sa447531"
"Riley Hornback","1","1","0","0","0","0","0","0","0","0","0","0","0",".189",".242",".266",".508",".228","0.0","0.0","0.0","sa549087"
"Alejandro Torres","1","1","0","0","0","0","0","0","0","0","0","0","0",".194",".242",".266",".508",".227","0.0","0.0","0.0","sa503143"
"Eduardo Santos","1","1","0","0","0","0","0","0","0","0","0","0","0",".202",".234",".278",".513",".226","0.0","0.0","0.0","sa592344"
"Cole Leonida","1","1","0","0","0","0","0","0","0","0","0","0","0",".175",".230",".270",".500",".225","0.0","0.0","0.0","sa526399"
"Jesus Araiza","1","1","0","0","0","0","0","0","0","0","0","0","0",".192",".240",".260",".501",".225","0.0","0.0","0.0","sa547843"
"Wilfredo Gimenez","1","1","0","0","0","0","0","0","0","0","0","0","0",".205",".239",".265",".504",".225","0.0","0.0","0.0","sa504051"
"Cameron Gallagher","1","1","0","0","0","0","0","0","0","0","0","0","0",".192",".237",".263",".500",".225","0.0","0.0","0.0","sa597771"
"Jake Depew","1","1","0","0","0","0","0","0","0","0","0","0","0",".196",".241",".260",".501",".225","0.0","0.0","0.0","sa548454"
"Hamlet Marte","1","1","0","0","0","0","0","0","0","0","0","0","0",".192",".232",".270",".502",".224","0.0","0.0","0.0","sa597218"
"Rafael Neda","1","1","0","0","0","0","0","0","0","0","0","0","0",".195",".241",".258",".499",".224","0.0","0.0","0.0","sa546791"
"Frank Schwindel","1","1","0","0","0","0","0","0","0","0","0","0","0",".204",".232",".272",".504",".223","0.0","0.0","0.0","sa738182"
"Joseph Hudson","1","1","0","0","0","0","0","0","0","0","0","0","0",".192",".240",".256",".495",".223","0.0","0.0","0.0","sa658019"
"Wyatt Mathisen","1","1","0","0","0","0","0","0","0","0","0","0","0",".194",".240",".256",".496",".223","0.0","0.0","0.0","sa657937"
"Chase Weems","1","1","0","0","0","0","0","0","0","0","0","0","0",".191",".233",".269",".501",".223","0.0","0.0","0.0","sa390613"
"Jimmy Jacquot","1","1","0","0","0","0","0","0","0","0","0","0","0",".187",".230",".269",".499",".222","0.0","0.0","0.0","sa549319"
"Matthew Colantonio","1","1","0","0","0","0","0","0","0","0","0","0","0",".189",".244",".248",".492",".222","0.0","0.0","0.0","sa598338"
"Edul Escobar","1","1","0","0","0","0","0","0","0","0","0","0","0",".195",".231",".270",".500",".222","0.0","0.0","0.0","sa502983"
"Dane Phillips","1","1","0","0","0","0","0","0","0","0","0","0","0",".187",".235",".262",".497",".222","0.0","0.0","0.0","sa503813"
"Joe Maloney","1","1","0","0","0","0","0","0","0","0","0","0","0",".181",".222",".277",".499",".222","0.0","0.0","0.0","sa598092"
"Zane Evans","1","1","0","0","0","0","0","0","0","0","0","0","0",".198",".231",".267",".499",".222","0.0","0.0","0.0","sa708968"
"David Villasuso","1","1","0","0","0","0","0","0","0","0","0","0","0",".183",".225",".275",".500",".222","0.0","0.0","0.0","sa599811"
"Corey Brownsten","1","1","0","0","0","0","0","0","0","0","0","0","0",".189",".239",".253",".491",".222","0.0","0.0","0.0","sa549187"
"Clint Coulter","1","1","0","0","0","0","0","0","0","0","0","0","0",".182",".231",".261",".492",".221","0.0","0.0","0.0","sa657922"
"Logan Moore","1","1","0","0","0","0","0","0","0","0","0","0","0",".185",".234",".257",".491",".221","0.0","0.0","0.0","sa598265"
"Richard Stock","1","1","0","0","0","0","0","0","0","0","0","0","0",".192",".227",".275",".502",".221","0.0","0.0","0.0","sa503673"
"Tyler Tewell","1","1","0","0","0","0","0","0","0","0","0","0","0",".187",".222",".276",".499",".221","0.0","0.0","0.0","sa658346"
"Sandy Martinez","1","1","0","0","0","0","0","0","0","0","0","0","0",".194",".233",".263",".495",".221","0.0","0.0","0.0","sa556054"
"Omar Renteria","1","1","0","0","0","0","0","0","0","0","0","0","0",".191",".231",".264",".495",".221","0.0","0.0","0.0","sa549398"
"Pedro Gonzalez","1","1","0","0","0","0","0","0","0","0","0","0","0",".197",".235",".258",".493",".220","0.0","0.0","0.0","sa548079"
